commitment_id,project_id,headline,primary_geography,region,category,funder_type,commitment_status,reported_value_aud,status_weight,status_weighted_reported_value_aud,duplicate_of,additive,ccs_specific_share_known,source_url
2026-Q2#48,cn-tianchi-xinjiang,900 Ktpa CCUS project in Xinjiang submits environmental impact assessment documents,China,Asia-Pacific,project_capex,private,announced,45558800,0.25,11389700,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#50,cn-xingzichuan,Yanchang Xingzichuan 260 Ktpa CO2-EOR Project completes construction,China,Asia-Pacific,project_capex,private,committed,59190400,1.0,59190400,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#53,,Yanchang Petroleum 1 Mtpa project begins construction on pipeline,China,Asia-Pacific,project_capex,private,committed,345560000,1.0,345560000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#55,,Shougang Lanza Tech Hebei Phase II Project commences operation,China,Asia-Pacific,project_capex,private,spent,83528000,1.0,83528000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#56,cn-shengli-power,Shengli Power Plant 1 Mtpa CCUS Project releases finalists for its capture bidding,China,Asia-Pacific,project_capex,private,announced,195097240,0.25,48774310,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#61,,LETA commits A$3.48M to accelerate carbon capture at POSCO's Pohang Steelworks,,Global / unallocated,private_investment,private,committed,3480000,1.0,3480000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#64,,INEOS and Sandpiper Chemicals collaborate to develop a Texas-based methanol facility,United States,Americas,project_capex,private,announced,2601000000,0.25,650250000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#90,,"Votorantim Cimentos receives €119 million in funding to construct a CO2 capture plant in Bierzo, Spain",Spain,Europe,ccs_public_funding_event,government,allocated,,0.75,,2026-07-01#04,no,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#91,,Switzerland awards €41.7 million in federal funding to a Regionalwerke Baden AG's CCS initiative,Switzerland,Europe,ccs_public_funding_event,government,allocated,69222000,0.75,51916500,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#92,,Croatian Hydrocarbon Agency receives €2.67 million from Croatian government to create a geological storage atlas and a pre-FEED study at the Bockovac site,Croatia,Europe,ccs_public_funding_event,government,allocated,4432200,0.75,3324150,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#94,,Eni CCUS Holding expands the financing sources for its platform of CCS projects,Italy,Europe,private_investment,private,committed,975000000,1.0,975000000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#95,,DOE selects four coal modernization projects evaluating CCUS,United States,Americas,ccs_public_funding_event,government,allocated,535500000,0.75,401625000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#102,,California expands industrial incentives through cap-and-invest reforms,United States,Americas,ccs_public_funding_event,government,allocated,6120000000,0.75,4590000000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#109,,"CEF Energy launches €600 million call for energy infrastructure projects, including cross-border CO2 transport and storage projects",European Union,EU bloc,ccs_public_funding_event,government,allocated,996000000,0.75,747000000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#114,,Ministry of Economic Affairs and Employment receive 8 applications for investment aid,Finland,Europe,ccs_public_funding_event,government,announced,149400000,0.25,37350000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#125,,"Indian Expenditure Finance Committee approves ₹19,700 Crore Carbon Capture Scheme",India,Asia-Pacific,ccs_public_funding_event,government,allocated,,0.75,,2026-05-28#05,no,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-07-01#04,,Spain awards €319m for cement decarbonisation under PERTE,Spain,Europe,ccs_public_funding_event,government,allocated,529540000,0.75,397155000,,yes,not applicable/unspecified,https://www.gasworld.com/story/spain-awards-e119m-for-co2-capture-project-at-el-bierzo-cement-plant/2253286.article/
2026-07-02#04,ca-pathways,Alberta submits West Coast pipeline proposal on 1 July deadline — Pathways CCS hub still mutually dependent,Canada,Americas,project_capex,private,announced,,0.25,,2026-05-26#01,no,not applicable/unspecified,https://www.cbc.ca/news/canada/calgary/pipeline-proposal-major-projects-deadline-9.7251077
2026-07-03#03,au-carbonnet,Woodside completes operatorship transition of Gippsland Basin JV — adjacent to CarbonNet's Pelican and Kookaburra storage sites,Australia,Asia-Pacific,not_ccs_funding,none,na,91800000,0.0,0,,no,not applicable/unspecified,https://www.energynewsbulletin.net/operations/news-analysis/4533553/woodside-takes-reins-gippsland-basin
2026-07-03#04,,Louisiana Illuminator: scrapped Air Products project 'could signal stiffer headwinds for CO₂ storage',United States,Americas,cancelled_project_capex,private,cancelled,6885000000,0.0,0,,yes,not applicable/unspecified,https://lailluminator.com/2026/07/02/scrapped-air-products-project/
2026-07-16#01,,UK commits £65.5m development-fund subsidy to Viking CCS transport & storage cluster,United Kingdom,Europe,ccs_public_funding_event,government,allocated,127725000,0.75,95793750,,yes,not applicable/unspecified,https://www.gasworld.com/story/viking-ccs-project-receives-development-funding/2254425.article
2026-07-27#02,id-tangguh-ucc,BP's Tangguh Ubadari CCUS moves into offshore installation as first jacket reaches Papua,Indonesia,Asia-Pacific,project_capex,private,committed,10710000000,1.0,10710000000,,yes,no — whole gas development plus CCUS,https://www.oedigital.com/news/541499-bp-moves-indonesia-ccus-project-into-offshore-installation-phase
2026-07-27#06,,CDR developers pivot into adjacent markets as the carbon-removal sector consolidates,,Global / unallocated,market_aggregate_not_commitment,private,na,1621800000,0.0,0,,no,not applicable/unspecified,https://www.qcintel.com/carbon/article/analysis-co2-removal-firms-pivot-into-adjacent-markets-69644.html
2026-08-20#01,ca-pathways,"Canada's oil sands producers target late-2027 Pathways CCS decision, aim to settle fiscal terms by mid-November",Canada,Americas,project_capex,private,announced,,0.25,,2026-05-26#01,no,not applicable/unspecified,https://www.miningweekly.com/article/canadas-oil-producers-target-late-2027-for-pathways-carbon-capture-decision-2026-08-19
2026-08-21#02,,Mafix raises US$5.4m pre-seed to commercialise CO2-removing silicate fertiliser,United States,Americas,private_investment,private,committed,8262000,1.0,8262000,,yes,not applicable/unspecified,https://carbonherald.com/mafix-to-commercialize-co2-removing-silicon-fertilizers-with-new-5-4m-funding/
