policy_id,event_id,name,classification,target_year,primary_geography,event_direction,source_url,verification_status
policy-56f5b1782327,2026-06-02#03,EU Commission's first NZIA progress report — 50 Mtpa CO₂ injection target by 2030,government target,2030,European Union,positive,https://climate.ec.europa.eu/news-other-reads/news/eu-makes-good-progress-towards-its-2030-co2-injection-target-2026-05-28_en,verified
policy-d54da5c8ed93,2026-06-02#04,LeadIT Green Cement Tracker — less than 2% of global cement emissions captured by 2035,corporate/project milestone,2035,,neutral,https://www.energylivenews.com/2026/05/28/carbon-capture-struggles-to-scale-cement-emissions-cuts/,verified
policy-cbfd2cda0ecb,2026-06-03#01,UK 7th Carbon Budget proposed at ~87% emissions cut 2038–42,government target,2042,United Kingdom,neutral,https://www.miragenews.com/uk-boosts-energy-security-jobs-investment-via-1684772/,verified
policy-d82c4003be34,2026-06-03#02,OEUK summit: DNV & Xodus reports project North Sea cross-border CO₂ flows from 18 Mtpa (2030) to 36 Mtpa (2050),corporate/project milestone,2050,,neutral,https://www.energy-pedia.com/news/united-kingdom/clearer-policy-and-stronger-investment-needed-to-scale-north-sea-ccs-and-hydrogen-projects-204121,verified
policy-9350371b215d,2026-06-03#04,State of CDR — 3rd Edition: novel carbon-removal must scale faster than solar to close 5 Gt CO₂/yr 2050 gap,corporate/project milestone,2050,,neutral,https://www.stateofcdr.org/report/3rd-edition,verified
policy-c744339ef1ba,2026-06-05#01,"Northern Lights awards second 12,000 cbm LCO₂ carrier to MISC / ""K"" Line",corporate/project milestone,2029,Norway,positive,https://www.upstreamonline.com/carbon-capture/misc-and-k-line-score-second-newbuild-for-northern-lights-ccs/2-1-1998588,verified
policy-5157d168e4b3,2026-06-05#06,MODEC × Eld Energy sign Tokyo JDA for 1.2 MW SOFC + CO₂-capture FPSO power system,corporate/project milestone,2029,,neutral,https://worldoil.com/news/2026/6/4/modec-eld-energy-advance-fuel-cell-carbon-capture-system-for-fpsos/,verified
policy-aa6b6f93aabb,2026-06-10#02,Aalborg Portland signs €2.2 bn (DKK 16.5 bn) ACCSION CCS subsidy contract with Danish Energy Agency,legislated/regulatory mandate,2030,Denmark,positive,https://www.domain-b.com/environment-1/denmark-awards-ccs-subsidy-aalborg-portland-accsion-project-2026,verified
policy-be98f723d0f5,2026-06-11#02,Morecambe Net Zero Peak Cluster CCS project enters Assess Phase under NSTA carbon storage licence,corporate/project milestone,2050,United Kingdom,neutral,https://oceannews.com/news/energy/morecambe-net-zero-peak-cluster-ccs-project-reaches-milestone/,verified
policy-370608c58fe1,2026-06-12#01,EU Council and Parliament reach provisional agreement to strengthen ETS2 market stability reserve,government target,2028,European Union,neutral,https://www.consilium.europa.eu/en/press/press-releases/2026/06/11/ets2-market-stability-reserve-council-and-parliament-reach-provisional-agreement/,verified
policy-3201ab6877db,2026-06-12#02,"Poland urges Brussels to dial back post-2030 EU ETS tightening, warning of 'artificial scarcity' risk to CCS investment",government target,2030,Poland,negative,https://carbon-pulse.com/520856/,verified
policy-078e727a80f3,2026-06-15#01,"Progressive Energy, Mission Zero and Airhive launch UnionDAC — 60ktpa Teesside DAC",corporate/project milestone,2028,United Kingdom,positive,https://www.qcintel.com/carbon/article/uk-dac-project-targets-60-000-tonnes-year-facility-by-2032-66711.html,verified
policy-4f70a7e87889,2026-06-15#03,EU member states endorse extension of CBAM to ~180 downstream steel and aluminium goods from 2028,government target,2028,European Union,neutral,https://carbon-pulse.com/521735/,verified
policy-30ff42d695d5,2026-06-15#04,UK confirms imminent 2026 UK ETS auction-calendar revision to absorb maritime inclusion from 1 July,legislated/regulatory mandate,2028,United Kingdom,neutral,https://carbon-pulse.com/521736/,verified
policy-f38c46b7918f,2026-06-16#06,"Gasunie, EBN, Eni, OGE, Shell and TotalEnergies sign MoU on Delta Rhine Corridor cross-border CO₂ network",corporate/project milestone,2032,,neutral,https://carbonherald.com/gasunie-and-partners-advance-plans-for-cross-border-co2-network/,verified
policy-01f83421a956,2026-06-16#07,Denmark awards Aalborg Portland up to DKK 16.5 billion (~€2.2bn) in CCS state aid for ACCSION project,corporate/project milestone,2030,Denmark,positive,https://ens.dk/en/press/first-tender-ccus-subsidy-scheme-has-been-finalized-danish-energy-agency-awards-contract,verified
policy-1be6322b7016,2026-06-17#02,Full steam ahead at Malaysian offshore CCS project,corporate/project milestone,2027,Malaysia,positive,https://www.upstreamonline.com/carbon-capture/full-steam-ahead-at-malaysian-offshore-ccs-project/2-1-2003884,verified
policy-096cddf8c98a,2026-06-17#04,"Europe needs a 65-ship CO₂ carrier fleet and 33 ports by 2050, Xodus study finds",corporate/project milestone,2050,,neutral,https://www.marinelink.com/news/europe-needs-ship-co-fleet-support-ccs-540349,verified
policy-333bc3b95a46,2026-06-19#02,JERA charters MOL and NYK ammonia carriers to ship CCS-enabled fuel from Louisiana to Japan,commercial deadline,2029,,neutral,https://splash247.com/mol-and-nyk-seal-ammonia-carrier-charters-with-jera/,verified
policy-4e0e0c3c8b8c,2026-06-19#05,Spirit Energy's Morecambe Net Zero CCS enters NSTA Assess Phase,corporate/project milestone,2030,United Kingdom,positive,https://worldoil.com/news/2026/6/9/major-uk-ccs-project-clears-milestone-toward-offshore-co2-storage/,verified
policy-466815b4b9f0,2026-06-22#02,Saline-aquifer CCS proposed as US data-centre decarbonisation pathway,corporate/project milestone,2030,United States,neutral,https://www.miragenews.com/underground-carbon-capture-may-curb-data-center-1695256/,verified
policy-3e7bc40f5853,2026-06-23#01,EU leaders' draft summit conclusions: extra free ETS allowances for heavy industry from January 2026,government target,2026,European Union,neutral,https://esgnews.com/eu-plans-extra-free-co2-permits-for-heavy-industry-as-competitiveness-pressure-builds/,verified
policy-6f9a5f0c455f,2026-06-23#02,Chevron–Microsoft 'Project Kilby' 2.67 GW Permian gas PPA lands without CCS,commercial deadline,2028,United States,positive,https://www.chevron.com/newsroom/2026/q2/chevron-signs-20-year-power-agreement-with-microsoft-for-west-texas-data-center,verified
policy-25892552b96f,2026-06-25#02,State of Carbon Dioxide Removal — 3rd Edition published at London Climate Action Week,corporate/project milestone,2050,,neutral,https://www.stateofcdr.org/asset/State-of-Carbon-Dioxide-Removal-Edition-3_June-2026.pdf,verified
policy-eca9412b8387,2026-06-26#02,Canada backs ASEAN carbon capture push with C$1.38 million through ASEAN-Canada Trust Fund,corporate/project milestone,2030,,neutral,https://carbonherald.com/canada-backs-asean-carbon-capture-push-with-c1-38m/,verified
policy-9dcaa8b882a9,2026-06-29#02,Flanders unveils €2 billion industrial decarbonisation package with €1.2 billion earmarked for CCS,corporate/project milestone,2028,Belgium,neutral,https://carbonherald.com/flanders-to-invest-e2b-in-carbon-capture-and-industrial-decarbonization/,verified
policy-64ea48c15f9e,2026-06-29#04,EU CRCF Buyers' Club platform goes live; targets initial permanent-removals purchases by December 2026,corporate/project milestone,2026,European Union,positive,https://carbonherald.com/the-official-eu-crcf-buyers-club-website-is-now-live/,verified
policy-891e4574eefc,2026-06-30#01,Deep Sky delivers North America's first certified DAC carbon-removal credits,commercial deadline,2034,Canada,positive,https://www.theglobeandmail.com/business/article-deep-sky-first-direct-air-capture-carbon-credits-rbc-microsoft/,verified
policy-87d3bb8f5414,2026-06-30#02,Alberta-Ottawa industrial carbon price reset to $140/t puts Canadian CCS pipeline at risk,government target,2030,Canada,negative,https://www.cbc.ca/news/canada/calgary/bakx-varme-edmonton-smith-carney-carbon-tax-tier-9.7247705,verified
policy-1ba1f9b2c76d,2026-06-30#04,EU Commission preparing legislation to bring carbon removals into the ETS — accounting choices flagged as policy headache,government target,2030,European Union,negative,https://carbon-pulse.com/,verified
policy-3de56793741e,2026-Q2#03,"ExxonMobil does not renew 163 federal offshore leases in the Gulf of Mexico, widely considered to be used for CCS",corporate/project milestone,2030,United States,negative,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-1cbd2a03b6eb,2026-Q2#104,"California, Washington, and Quebec sign agreement to link North American carbon markets",government target,2027,,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-fe5e1c59033d,2026-Q2#105,Governments of Canada and Alberta advance Federal Implementation Agreement,government target,2040,Canada,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-c32ababba645,2026-Q2#113,French Government relaunches two flagship measures to decarbonise industry,corporate/project milestone,2030,France,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-ca44f30a3c2d,2026-Q2#117,Non-pipeline transport (NPT) pathfinder selection process opens for projects looking to connect to the East Coast Cluster,corporate/project milestone,2032,United Kingdom,positive,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-7fbe09ce1d1e,2026-Q2#12,ExxonMobil announces new Sunflower Carbon Storage Project,corporate/project milestone,2026,United States,positive,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-9ca79ca70fee,2026-Q2#122,Cement sector roadmap incorporates carbon capture and utilisation,government target,2030,Morocco,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-e6e9009023fc,2026-Q2#130,15th Five-Year Plan on Energy released,government target,2030,China,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-81b48da67f0f,2026-Q2#133,Japan transitions its GX-ETS to the mandatory phase,legislated/regulatory mandate,2032,Japan,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-5072c526622b,2026-Q2#15,Auris Energia and Carbonaide start Finland's first biogenic CO2 capture plant,corporate/project milestone,2027,Finland,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-0160c2ec04df,2026-Q2#37,Sohar Port advances cluster-based carbon capture strategy,corporate/project milestone,2032,Oman,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-254bbac0c68c,2026-Q2#54,Ningxia 1 Ktpa DAC-to-SAF Project begins construction,corporate/project milestone,2027,China,positive,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-38d279ced247,2026-Q2#57,"Metropolitan CCS joint venture granted approval for CCS exploration drilling off Pacific coast of Chiba Prefecture, Japan",corporate/project milestone,2032,Japan,positive,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-b06964b3587e,2026-Q2#61,LETA commits A$3.48M to accelerate carbon capture at POSCO's Pohang Steelworks,corporate/project milestone,2040,,negative,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-e1232ca9aa5b,2026-Q2#64,INEOS and Sandpiper Chemicals collaborate to develop a Texas-based methanol facility,corporate/project milestone,2030,United States,positive,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-5910767e1088,2026-Q2#71,NYK signs MOU with Hokkaido Electric Power for onboard CCS demonstration project,corporate/project milestone,2028,Japan,neutral,https://www.globalccsinstitute.com/resources/publications-reports-research/,verified
policy-85baed76edc2,2026-07-01#02,EU NZIA Article 23 deadline takes effect,legislated/regulatory mandate,2030,European Union,neutral,https://carbon-pulse.com/526948/,verified
policy-165298a619e8,2026-07-02#03,California SB 614 State Fire Marshal deadline for CO₂ pipeline safety regulations falls today,legislated/regulatory mandate,2027,United States,positive,https://www.hunton.com/the-nickel-report/california-enacts-framework-for-lifting-moratorium-on-intrastate-carbon-dioxide-pipelines,verified
policy-524905d5888f,2026-07-02#04,Alberta submits West Coast pipeline proposal on 1 July deadline — Pathways CCS hub still mutually dependent,commercial deadline,2035,Canada,positive,https://www.cbc.ca/news/canada/calgary/pipeline-proposal-major-projects-deadline-9.7251077,verified
policy-fbabba765ce9,2026-07-03#03,Woodside completes operatorship transition of Gippsland Basin JV — adjacent to CarbonNet's Pelican and Kookaburra storage sites,corporate/project milestone,2026,Australia,positive,https://www.energynewsbulletin.net/operations/news-analysis/4533553/woodside-takes-reins-gippsland-basin,verified
policy-0a8b3607a4e1,2026-07-09#02,Tencent signs first carbon-removal credit deal outside China,legislated/regulatory mandate,2030,,neutral,https://www.bloomberg.com/news/articles/2026-07-08/tencent-inks-first-deal-for-carbon-removal-credits-outside-china,verified
policy-5e946898cbdd,2026-07-09#04,Wood Mackenzie: CCUS capacity keeps growing despite project delays and policy challenges,corporate/project milestone,2060,,negative,https://www.woodmac.com/blogs/energy-pulse/carbon-capture-continues-to-grow-despite-challenges/,verified
policy-b31884864ad1,2026-07-13#01,INPEX spuds Japan's first offshore CO₂-storage appraisal well off Chiba,corporate/project milestone,2027,Japan,positive,https://www.upstreamonline.com/carbon-capture/inpex-starts-drilling-first-carbon-capture-appraisal-well-offshore-japan/2-1-2014545,verified
policy-e19368096cbb,2026-07-13#02,Fugro wins Saipem survey contract for UK's first offshore CO₂ pipeline (Northern Endurance),legislated/regulatory mandate,2028,United Kingdom,neutral,https://www.offshore-energy.biz/fugro-to-assist-saipem-with-pipeline-work-at-uks-first-offshore-ccs-project/,verified
policy-936870c76dd3,2026-07-14#01,"Alberta, Ottawa and oil-sands producers sign MOU to advance the Pathways CCS project — capture target cut to ~16 Mtpa",corporate/project milestone,2035,Canada,neutral,https://www.reuters.com/business/energy/canadas-oil-sands-alliance-reaches-agreement-advance-pathways-carbon-capture-2026-07-13/,verified
policy-82bd488e527e,2026-07-15#03,Microsoft's emissions jump 25% on AI buildout as it reaffirms carbon-removal commitment,commercial deadline,2030,United States,neutral,https://carbon-pulse.com/530401/,verified
policy-bfa55e641d6b,2026-07-16#01,UK commits £65.5m development-fund subsidy to Viking CCS transport & storage cluster,corporate/project milestone,2028,United Kingdom,negative,https://www.gasworld.com/story/viking-ccs-project-receives-development-funding/2254425.article,verified
policy-6f3991f39a45,2026-07-20#02,European Commission tables EU ETS Phase 5 reform: 90% cut by 2040 and a ~€50bn carbon-removal purchasing mechanism,government target,2040,European Union,positive,https://icapcarbonaction.com/en/news/eu-commission-publishes-eu-ets-review-proposal,verified
policy-8712f60f98de,2026-07-22#04,Euroports and Normod Carbon sign MoU for a Northern European CO2 hub,corporate/project milestone,2029,,neutral,https://carbonherald.com/euroports-and-normod-carbon-to-develop-northern-european-co2-hub/,verified
policy-fd96b97697d4,2026-07-27#03,Uniper names Worley preferred EPC contractor for the Connah's Quay low-carbon (CCGT+CCS) power project,commercial deadline,2030,United Kingdom,neutral,https://carbonherald.com/uniper-selects-worley-for-2030-carbon-capture-power-station/,verified
policy-c63096b0d0de,2026-07-30#01,Shearwater wins CO2-storage seismic survey contract offshore Australia (Bonaparte Basin),legislated/regulatory mandate,2030,Australia,positive,https://www.upstreamonline.com/carbon-capture/shearwater-wins-carbon-storage-survey-contract-down-under,verified
policy-42f2dae58f0c,2026-07-31#02,Singapore and Australia aim to conclude cross-border CCS instrument negotiations by year-end,government target,2026,,neutral,https://carbon-pulse.com/536055/,verified
policy-6edab8f0d764,2026-08-04#01,Thailand and Canada pilot mobile carbon capture in the cement industry,corporate/project milestone,2050,,neutral,https://www.manilatimes.net/2026/08/03/tmt-newswire/media-outreach-newswire/thailand-canada-pilot-carbon-capture-in-cement-industry-to-advance-net-zero-2050/2397242,verified
policy-9acdc46c8a33,2026-08-05#02,Hungary's parliament abolishes its CO2 quota tax to ease EU ETS burden and unlock EU funds,legislated/regulatory mandate,2026,,negative,https://carbonherald.com/hungary-scraps-controversial-co2-quota-tax-in-bid-to-ease-eu-ets-burden/,verified
policy-dab143412853,2026-08-12#01,"Cardinal Glass to install 'world's first' float-glass carbon capture at Winlock, Washington",corporate/project milestone,2029,United States,neutral,https://www.gasworld.com/story/cardinal-announces-worlds-first-float-glass-carbon-capture-system-in-washington/2256985.article,verified
policy-f859930e1311,2026-08-13#03,"Cement plants could become net carbon-removal machines, ETH Zurich study finds",legislated/regulatory mandate,2050,Switzerland,neutral,https://techxplore.com/news/2026-08-cement-atmosphere.html,verified
policy-4a300ad62ea6,2026-08-17#01,Ucaneo CEO outlines next steps after opening Germany's largest DAC facility,corporate/project milestone,2027,Germany,positive,https://www.gasworld.com/story/exclusive-ucaneo-ceo-outlines-next-steps-after-opening-germanys-largest-dac-facility/2257119.article,verified
policy-705d31028f18,2026-08-18#01,JAPEX starts second exploratory well as it nears FID on flagship Tomakomai CCS project,corporate/project milestone,2030,Japan,positive,https://www.upstreamonline.com/carbon-capture/japex-nearing-fid-for-flagship-carbon-capture-project/2-1-2029797,verified
policy-544be6109624,2026-08-20#01,"Canada's oil sands producers target late-2027 Pathways CCS decision, aim to settle fiscal terms by mid-November",corporate/project milestone,2027,Canada,positive,https://www.miningweekly.com/article/canadas-oil-producers-target-late-2027-for-pathways-carbon-capture-decision-2026-08-19,verified
policy-e8e582238dd8,2026-08-20#05,"Senken and Carbonsate sign Europe's largest biomass-burial carbon-removal offtake (50,000 t, Namibia)",commercial deadline,2028,,neutral,https://carbonherald.com/senken-and-carbonsate-ink-europes-largest-biomass-storage-deal-to-date/,verified
policy-73fae7e079b2,2026-08-24#01,INPEX's Bonaparte CCS project takes another step on its environmental assessment pathway,legislated/regulatory mandate,2031,Australia,negative,https://www.energynewsbulletin.net/energy-transition/news-analysis/4535838/step-assessment-pathway-inpexs-bonaparte-ccs-plan,verified
policy-908b4268cd1f,2026-08-24#03,HyNet anchor Protos energy-from-waste plant burns first waste as it enters commissioning,corporate/project milestone,2029,United Kingdom,positive,https://www.energyvoice.com/renewables-energy-transition/ccs/602780/hynet-encyclis-erf/,verified
policy-db340633faaf,2026-08-24#06,Heidelberg Materials pauses full-scale CCS at its Edmonton cement plant over weak carbon pricing,corporate/project milestone,2026,China,negative,https://edmonton.taproot.news/news/2026/08/18/carbon-capture-project-on-hold-at-edmonton-cement-plant,verified
