project_id,canonical_name,aliases,entity_type,parent_hub_id,primary_country,countries,organisations,sector,co2_source,co2_destination,capture_technology,lifecycle_stage,expected_start,actual_start,capacity_basis,capacity_mtpa,actual_annual_mt,capacity_status,capacity_source_date,permit_status,confidence,verification_status,source_quality,last_verified,source_url
uk-morecambe,MNZ / Morecambe Net Zero,morecambe net zero|mnz peak|mnz enters|morecambe storage,hub,,United Kingdom,United Kingdom,Spirit Energy,multi-sector,multiple sources,dedicated storage,,feasibility,2030,,storage_injection_capacity,3.0,,reported proposed,2026-06-12,NSTA Assess Phase,high,verified,regulator and company,2026-06-12,
uk-hynet-protos,HyNet Protos capture plant,encyclis protos|protos anchor capture,capture-facility,uk-hynet,United Kingdom,United Kingdom,Encyclis|Progressive Energy,waste-to-energy,waste-to-energy,dedicated storage,,construction,2028,,capture_capacity,0.37,,nameplate,2026-05-29,permitted,high,verified,company,2026-05-29,
uk-hynet-padeswood,HyNet Padeswood capture plant,padeswood|hynet padeswood|lti vessco|hanson padeswood cement works ccs,capture-facility,uk-hynet,United Kingdom,United Kingdom,Heidelberg Materials|Mitsubishi Heavy Industries,cement,cement kiln,dedicated storage,amine capture,construction,2028,,capture_capacity,0.8,,nameplate,2026-06-11,permitted,high,verified,company,2026-06-11,
uk-hynet,HyNet North West,hynet north west|hynet cluster,hub,,United Kingdom,United Kingdom,Eni|Progressive Energy,multi-sector,multiple sources,dedicated storage,,FID/financial close,2028,,transport_capacity,,,not stated,2026-06-11,licences granted,high,verified,government and company,2026-06-11,
uk-northern-endurance,Northern Endurance Partnership,northern endurance partnership|northern endurance transport|northern endurance partnership phase 1|northern endurance partnership phase 2|northern endurance partnership phase 3,transport-network,,United Kingdom,United Kingdom,BP|Equinor|TotalEnergies,multi-sector,multiple sources,dedicated storage,,construction,2028,,storage_injection_capacity,23.0,,network storage design capacity,2026-07-27,licences granted,high,verified,operator,2026-07-27,
uk-drax-beccs,Drax BECCS,drax beccs|drax permit|drax beccs project phase 1|drax beccs project phase 2,capture-facility,,United Kingdom,United Kingdom,Drax,power,biomass,dedicated storage,solvent capture,permit application,2030,,capture_capacity,8.0,,nameplate proposed,2026-06-09,permit consultation,medium,verified,regulator,2026-06-09,
dk-accsion,ACCSION Aalborg Portland,accsion|aalborg portland,capture-facility,,Denmark,Denmark,Aalborg Portland,cement,cement kiln,dedicated storage,,FID/financial close,2030,,capture_capacity,1.25,,contracted nameplate,2026-06-16,state-aid contract,high,verified,government,2026-06-16,
nl-aramis,Aramis CCS,aramis|k14-fa|k14 fa|aramis ccs transport phase 1|aramis ccs storage phase 1|aramis ccs storage phase 2,hub,,Netherlands,Netherlands,Shell|TotalEnergies|EBN|Gasunie,multi-sector,multiple sources,dedicated storage,,permitted,2030,,storage_injection_capacity,22.0,,licensed maximum,2026-05-29,storage permit,high,verified,regulator,2026-05-29,
my-kasawari,Kasawari CCS,kasawari|petronas kasawari gas field ccs project kasawari phase 2 project,project,,Malaysia,Malaysia,Petronas,natural gas,natural gas processing,associated reinjection,,construction,2027,,capture_capacity,3.3,,nameplate,2026-06-17,approved,high,reported,industry media,2026-06-17,
id-tangguh-ucc,Tangguh UCC,tangguh|ubadari ucc|bp tangguh|tangguh lng egr|tangguh ccus hub vorwata,project,,Indonesia,Indonesia,BP,natural gas,natural gas processing,associated reinjection,,construction,2028,,capture_capacity,3.0,,GCCSI nameplate; whole-scheme 15 Mt is cumulative and non-additive,2025-07,approved,high,verified,GCCSI 2025 and operator,2026-07-27,
cn-tianchi-xinjiang,Xinjiang Tianchi Energy CCUS,xinjiang tianchi|900 ktpa ccus,project,,China,China,Xinjiang Tianchi Energy,power,power,dedicated storage,,permit application,2028,,capture_capacity,0.9,,nameplate,2026-06-30,EIA submitted,medium,reported,GCCSI quarterly,2026-06-30,
cn-xingzichuan,Yanchang Xingzichuan CO2-EOR,xingzichuan|260 ktpa co2-eor,project,,China,China,Yanchang Petroleum,oil and gas,industrial CO2,EOR,,commissioning,2026,,capture_capacity,0.26,,nameplate,2026-06-30,construction complete,medium,reported,GCCSI quarterly,2026-06-30,
cn-shengli-power,Shengli Power Plant CCUS,shengli power plant|1 mtpa ccus project|sinopec shengli power plant ccs shandong,capture-facility,,China,China,Sinopec,power,power,EOR,,FEED,2028,,capture_capacity,1.0,,nameplate,2026-06-30,bid stage,medium,reported,GCCSI quarterly,2026-06-30,
cn-baotou-chemical,China Energy Baotou Chemical capture,baotou chemical,capture-facility,,China,China,China Energy,chemicals,chemical process,utilisation,,operating,2026,2026,capture_capacity,0.3,,nameplate,2026-06-30,operating,medium,reported,GCCSI quarterly,2026-06-30,
no-furu-daccs,Project Furu DACCS,project furu|sirona technologies,capture-facility,,Norway,Norway,Sirona Technologies,DAC,atmospheric CO2,dedicated storage,direct air capture,construction,2026,,capture_capacity,0.01,,nameplate,2026-06-01,not stated,medium,reported,company,2026-06-01,
se-stockholm-exergi,Stockholm Exergi BECCS,stockholm exergi|beccs stockholm|stockholm exergi värtan chp ccs beccs@sthlm,capture-facility,,Sweden,Sweden,Stockholm Exergi,bioenergy,biomass,dedicated storage,,construction,2028,,capture_capacity,0.8,,nameplate,2026-06-01,approved,high,reported,company,2026-06-01,
au-myrtle,Myrtle carbon refinery,myrtle|carbon refinery|kooragang island,utilisation-facility,,Australia,Australia,MCi Carbon,mineralisation,industrial CO2,utilisation,mineral carbonation,operating,2026,2026,utilisation_capacity,0.0025,,nameplate,2026-06-25,operating,high,verified,company and government,2026-06-25,
eu-nzia-2030,EU NZIA Article 23 injection target,nzia article 23|50 mtpa co2 injection target|eu commission first nzia|first nzia progress|nzia progress report,policy-instrument,,European Union,European Union,European Commission,multi-sector,multiple sources,dedicated storage,,operating,2030,,policy_target_capacity,50.0,,legislated target,2026-07-01,in force,high,verified,legislation,2026-07-01,https://climate.ec.europa.eu/news-other-reads/news/eu-makes-good-progress-towards-its-2030-co2-injection-target-2026-05-28_en
