event_id,project_id,mapping_status,mapping_method,source_type,source_file,briefing_date,publication_date,headline,primary_geography,geography_basis,event_direction,media_tone,mandate_class,capacity_reported_mtpa,capacity_additive,item_url,report_url,verification_status
2026-05-27#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-27,2026-05-25,COFs Redefine Membrane Limits in Carbon Capture,Japan,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.miragenews.com/cofs-redefine-membrane-limits-in-carbon-capture-1679633/,,item-link
2026-05-28#01,au-moomba-ccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,Santos' Moomba CCS project crosses 2 MtCO₂e stored,Australia,canonical physical project location,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://greenreview.com.au/resources/santos-moomba-ccs-project-achieves-milestone-of-storing-two-million-tonnes-of-co2/,,item-link
2026-05-28#02,us-carbon-terravault-i,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,California records first CO₂ injection at Carbon TerraVault I,United States,canonical physical project location,positive,,not-dated,1.46,no — evidence only; canonical capacity register controls totals,https://www.gasworld.com/story/california-records-first-co2-injection/2250451.article/,,item-link
2026-05-28#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,Germany commits €5 billion to carbon capture push,Germany,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://oilprice.com/Energy/Energy-General/Germany-Puts-5-Billion-Behind-Carbon-Capture-Push.html,,item-link
2026-05-28#04,ca-pathways,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,Canada says oil-sands cashflow can fund Pathways CCS,Canada,canonical physical project location,neutral,,corporate/project milestone,16.0,no — evidence only; canonical capacity register controls totals,https://www.thestar.com.my/business/business-news/2026/05/27/canada-confident-oil-sands-can-fund-carbon-capture,,item-link
2026-05-28#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,India publishes net-zero CCUS storage roadmap,India,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://discoveryalert.com.au/india-carbon-storage-roadmap-ccus-geological-storage-2026/,,item-link
2026-05-28#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,Ohio Senate passes substitute CCS bill,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.morningagclips.com/ohio-senate-passes-substitute-bill-on-carbon-capture-and-storage-activity/,,item-link
2026-05-28#07,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,Linde and Valmet partner on electrified carbon capture for pulp & paper,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.gasworld.com/story/linde-and-valmet-advance-electrical-carbon-capture-tech-for-pulp-and-paper/2250436.article/,,item-link
2026-05-28#08,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-28,2026-05-27,Climeworks CEO calls for a broader carbon-removal buyer base,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/515470/,,item-link
2026-05-29#01,nl-aramis,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-29,2026-05-28,Shell wins Dutch permit for Aramis CO₂ storage at K14-FA/FC,Netherlands,canonical physical project location,positive,,government target,22,no — evidence only; canonical capacity register controls totals,https://www.industrylinqs.com/ccs/2026/05/shell-gets-permit-for-co2-storage-aramis-ccs/,,item-link
2026-05-29#02,uk-hynet-protos,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-29,2026-05-28,HyNet's Encyclis Protos anchor capture plant enters new construction phase,United Kingdom,canonical physical project location,positive,,commercial deadline,0.37,no — evidence only; canonical capacity register controls totals,https://www.energyvoice.com/renewables-energy-transition/ccs/598331/hynet-carbon-capture-anchor-project/,,item-link
2026-05-29#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-29,2026-05-28,Alberta opens public consultation on updated CCS quantification protocol,Canada,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.sendeco2.com/es/noticias/2026/05/28/alberta-releases-draft-update-of-ccs-quantification-protocol-for-public-comment,,item-link
2026-05-29#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-29,2026-05-28,Snaring emissions: is carbon capture the new beacon of Britain's industrial future?,United Kingdom,single event geography; entity not mapped,positive,positive,commercial deadline,2,no — evidence only; canonical capacity register controls totals,https://www.constructionnews.co.uk/sections/long-reads/features/snaring-emissions-is-carbon-capture-the-new-beacon-of-britains-industrial-future-28-05-2026/,,item-link
2026-06-01#01,no-furu-daccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-01,2026-05-27,"Sirona Technologies launches Project Furu DACCS in Øygarden, Norway",Norway,canonical physical project location,neutral,,corporate/project milestone,0.01,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/sirona-technologies-launches-furu-daccs-project-in-norway/,,item-link
2026-06-01#02,se-stockholm-exergi,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-01,2026-05-27,"City of Stockholm signs 750,000-tonne carbon-removal deal with Stockholm Exergi",Sweden,canonical physical project location,neutral,,commercial deadline,0.8,no — evidence only; canonical capacity register controls totals,https://www.esgtoday.com/stockholm-becomes-one-of-worlds-largest-carbon-removal-buyers-with-new-750000-tonne-deal/,,item-link
2026-06-01#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-01,2026-05-27,Vallourec & Syngular Solutions sign BECCS MoU for Brazil's ethanol corridor,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.offshore-energy.biz/french-firm-enters-deal-for-bioenergy-with-ccs-projects-in-brazil/,,item-link
2026-06-02#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-02,2026-06-01,"Grattan Institute: net-zero gas pathway needs ""impracticable"" CCS and carbon-removal volumes",Australia,single event geography; entity not mapped,neutral,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://grattan.edu.au/report/out-of-gas-managing-the-decline-of-gas-in-australia/,,item-link
2026-06-02#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-02,2026-06-01,Louisiana community-engagement meeting on CCS scheduled for 4 June at Jennings,United States,single event geography; entity not mapped,neutral,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://americanpress.com/2026/06/01/carbon-capture-focus-of-upcoming-community-meeting/,,item-link
2026-06-02#03,eu-nzia-2030,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-02,2026-05-28,EU Commission's first NZIA progress report — 50 Mtpa CO₂ injection target by 2030,European Union,canonical physical project location,positive,,government target,50,no — evidence only; canonical capacity register controls totals,https://climate.ec.europa.eu/news-other-reads/news/eu-makes-good-progress-towards-its-2030-co2-injection-target-2026-05-28_en,,item-link
2026-06-02#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-02,2026-05-28,LeadIT Green Cement Tracker — less than 2% of global cement emissions captured by 2035,,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://www.energylivenews.com/2026/05/28/carbon-capture-struggles-to-scale-cement-emissions-cuts/,,item-link
2026-06-02#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-02,2026-05-29,University of Queensland unveils CO₂-to-formate electrochemical generator,Australia,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://news.uq.edu.au/2026-05-uq-tech-turns-captured-co2-valuable-chemicals,,item-link
2026-06-03#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-03,2026-06-02,UK 7th Carbon Budget proposed at ~87% emissions cut 2038–42,United Kingdom,single event geography; entity not mapped,neutral,,government target,,no — evidence only; canonical capacity register controls totals,https://www.miragenews.com/uk-boosts-energy-security-jobs-investment-via-1684772/,,item-link
2026-06-03#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-03,2026-06-02,OEUK summit: DNV & Xodus reports project North Sea cross-border CO₂ flows from 18 Mtpa (2030) to 36 Mtpa (2050),,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,36,no — evidence only; canonical capacity register controls totals,https://www.energy-pedia.com/news/united-kingdom/clearer-policy-and-stronger-investment-needed-to-scale-north-sea-ccs-and-hydrogen-projects-204121,,item-link
2026-06-03#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-03,2026-06-02,NSW opens A$225m Net Zero Manufacturing round,Australia,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/517463/?site=cpp,,item-link
2026-06-03#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-03,2026-06-02,State of CDR — 3rd Edition: novel carbon-removal must scale faster than solar to close 5 Gt CO₂/yr 2050 gap,,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://www.stateofcdr.org/report/3rd-edition,,item-link
2026-06-03#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-03,2026-06-01,Climeworks Solutions signs 10-year multi-pathway CDR deal with TD Bank — backs planned Canadian DAC plant,Canada,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://climeworks.com/press-release/climeworks-solutions-signs-10-year-cdr-agreement-with-td-bank,,item-link
2026-06-03#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-03,2026-06-02,"Independent Australia: ""The carbon capture con keeping fossil fuels alive""",Australia,single event geography; entity not mapped,neutral,negative,not-dated,,no — evidence only; canonical capacity register controls totals,"https://independentaustralia.net/politics/politics-display/the-carbon-capture-con-keeping-fossil-fuels-alive,21121",,item-link
2026-06-05#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-05,2026-06-04,"Northern Lights awards second 12,000 cbm LCO₂ carrier to MISC / ""K"" Line",Norway,single event geography; entity not mapped,positive,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://www.upstreamonline.com/carbon-capture/misc-and-k-line-score-second-newbuild-for-northern-lights-ccs/2-1-1998588,,item-link
2026-06-05#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-05,2026-06-04,US: Trump redirects US$185 mln of IIJA CCS funds to coal under US$700 mln DPA package,United States,single event geography; entity not mapped,negative,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.latitudemedia.com/news/trump-is-redirecting-carbon-capture-funds-to-coal-for-ai/,,item-link
2026-06-05#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-05,2026-06-04,MIT publishes oxygen-tolerant electrochemical CO₂ capture in Nature Energy,United States,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://news.mit.edu/2026/developing-innovative-carbon-capture-methods-0604,,item-link
2026-06-05#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-05,2026-06-04,"Skytree deploys Stratus DAC at Koppert Cress greenhouses (Monster, NL)",Netherlands,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.gasworld.com/story/skytree-to-deploy-direct-air-capture-system-for-dutch-greenhouse-co2-supply/,,item-link
2026-06-05#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-05,2026-06-04,Deep Sky signs 10-year DAC offtake with TD Bank Group,Canada,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.newswire.ca/news-releases/deep-sky-announces-direct-air-capture-carbon-removal-agreement-with-td-bank-group-advancing-canada-s-leadership-in-carbon-removal-899228119.html,,item-link
2026-06-05#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-05,2026-06-04,MODEC × Eld Energy sign Tokyo JDA for 1.2 MW SOFC + CO₂-capture FPSO power system,,multi-country or global event; non-additive until adjudicated,neutral,,corporate/project milestone,,no — evidence only; canonical capacity register controls totals,https://worldoil.com/news/2026/6/4/modec-eld-energy-advance-fuel-cell-carbon-capture-system-for-fpsos/,,item-link
2026-06-09#01,uk-drax-beccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-09,2026-06-05,"UK Environment Agency 'minded to' grant Drax BECCS permit variation, consultation runs to 24 June",United Kingdom,canonical physical project location,positive,,not-dated,8,no — evidence only; canonical capacity register controls totals,https://www.gov.uk/government/news/consultation-opens-on-drax-power-permit-draft-decision,,item-link
2026-06-09#02,my-kasawari,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-09,2026-06-03,Kelington Group expands MoU with PETRONAS CCS Solutions to cover satellite CO₂ terminals,Malaysia,canonical physical project location,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://themalaysianreserve.com/2026/06/03/kelington-expands-petronas-ccs-partnership-to-study-satellite-co%E2%82%82-terminals/,,item-link
2026-06-09#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-09,2026-06-03,DNV verifies Carbon Ridge centrifugal onboard capture at 98% CO₂ on Scorpio Tankers' STI Spiga,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://worldoil.com/news/2026/6/3/dnv-verifies-carbon-ridge-onboard-carbon-capture-system-in-tanker-pilot/,,item-link
2026-06-10#01,uk-morecambe,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-10,2026-06-09,Spirit Energy / Morecambe Net Zero (MNZ) enters NSTA 'Assess Phase',United Kingdom,canonical physical project location,positive,,not-dated,3,no — evidence only; canonical capacity register controls totals,https://worldoil.com/news/2026/6/9/major-uk-ccs-project-clears-milestone-toward-offshore-co2-storage/,,item-link
2026-06-10#02,dk-accsion,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-10,2026-06-09,Aalborg Portland signs €2.2 bn (DKK 16.5 bn) ACCSION CCS subsidy contract with Danish Energy Agency,Denmark,canonical physical project location,positive,,legislated/regulatory mandate,1.25,no — evidence only; canonical capacity register controls totals,https://www.domain-b.com/environment-1/denmark-awards-ccs-subsidy-aalborg-portland-accsion-project-2026,,item-link
2026-06-10#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-10,2026-06-08,"Energy Intelligence: 'Weak CO₂ storage demand, refocus on oil hit IOCs' CCS plans'",,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.energyintel.com/0000019a-ffdb-d183-a79a-ffdfb0500000,,item-link
2026-06-10#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-10,2026-06-08,"TD Bank Group signs 10-year, 18,000-credit DAC offtake with Deep Sky",Canada,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://esgnews.com/td-bank-signs-10-year-deal-with-deep-sky-for-18000-direct-air-capture-credits/,,item-link
2026-06-10#05,uk-hynet-padeswood,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-10,2026-06-04,GCCA × Global CCS Institute MoU to accelerate cement-sector CCS,United Kingdom,canonical physical project location,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.globalccsinstitute.com/,,item-link
2026-06-11#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-11,2026-06-10,"Air Liquide commissions first industrial-scale Cryocap FG cement pilot at Holcim's CaptureLab, France",France,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.airliquide.com/group/press-releases-news/2026-06-10/air-liquide-starting-co2-capture-pilot-unit-dedicated-decarbonization-cement-industry,,item-link
2026-06-11#02,uk-morecambe,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-11,2026-06-10,Morecambe Net Zero Peak Cluster CCS project enters Assess Phase under NSTA carbon storage licence,United Kingdom,canonical physical project location,neutral,,corporate/project milestone,3,no — evidence only; canonical capacity register controls totals,https://oceannews.com/news/energy/morecambe-net-zero-peak-cluster-ccs-project-reaches-milestone/,,item-link
2026-06-11#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-11,2026-06-10,Mitsubishi Electric and Finland's VTT reach milestone on electrochemical Direct Ocean Capture,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/mitsubishi-electric-and-vtt-reach-milestone-in-electrochemical-doc-project/,,item-link
2026-06-11#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-11,2026-06-10,Ocean Visions launches first-of-its-kind digital roadmap for seaweed-based decarbonisation pathways,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/new-state-of-carbon-dioxide-removal-assessment-shares-key-insights-on-the-global-cdr-sector/,,item-link
2026-06-11#05,uk-hynet-padeswood,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-11,2026-06-10,LTi Vessco secures £4.5m contract from Mitsubishi Heavy Industries for HyNet Padeswood CCS regenerator,United Kingdom,canonical physical project location,neutral,,not-dated,0.8,no — evidence only; canonical capacity register controls totals,https://businessnewswales.com/lti-vessco-secures-4-5m-carbon-capture-vessel-contract-from-mitsubishi-heavy-industries/,,item-link
2026-06-12#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-12,2026-06-11,EU Council and Parliament reach provisional agreement to strengthen ETS2 market stability reserve,European Union,single event geography; entity not mapped,neutral,,government target,,no — evidence only; canonical capacity register controls totals,https://www.consilium.europa.eu/en/press/press-releases/2026/06/11/ets2-market-stability-reserve-council-and-parliament-reach-provisional-agreement/,,item-link
2026-06-12#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-12,2026-06-11,"Poland urges Brussels to dial back post-2030 EU ETS tightening, warning of 'artificial scarcity' risk to CCS investment",Poland,single event geography; entity not mapped,negative,,government target,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/520856/,,item-link
2026-06-12#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-12,2026-06-11,Commission urged to confirm permanent carbon removals will be brought into the EU ETS in July reform proposal,European Union,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/520856/,,item-link
2026-06-12#04,dk-accsion,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-12,2026-06-11,Danish MEP: poor communication on CCS has become a 'political problem',Denmark,canonical physical project location,negative,negative,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/520856/,,item-link
2026-06-12#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-12,2026-06-10,"Air Liquide commissions Cryocap FG cement-capture pilot at Holcim's CaptureLab, France",France,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.airliquide.com/group/press-releases-news/2026-06-10/air-liquide-starting-co2-capture-pilot-unit-dedicated-decarbonization-cement-industry,,item-link
2026-06-12#06,ca-pathways,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-06-12,2026-06-10,Cenovus CEO calls Canada's Pathways CCS-plus-pipeline deal 'unfinanceable',Canada,canonical physical project location,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.miningweekly.com/article/cenovus-ceo-says-proposed-pipeline-to-canadas-west-coast-currently-unfinanceable-2026-06-10,,item-link
