source_project_id,project_name,country,storage_type_reported,storage_class,storage_class_basis,classification_confidence,first_reported_year,latest_reported_year,latest_annual_stored_mt,cumulative_stored_mt,population_coverage,value_status,source_vintage,source_url
london-2025-036,Blue Flint CO2 Storage Project,United States,Geological Storage,dedicated,derived-destination-class,medium,2023,2024,0.2035,0.2335,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-037,Campo Viejo Gas Processing Plant,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2022,2023,0.0,0.0861885,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-038,Camrick Unit,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2023,2023,0.0,0.033759,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-039,Hobbs Field,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2017,2023,0.0,19.875874,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-040,Petra Nova West Ranch,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2021,2023,0.0,0.36,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-041,"Red Trail Energy, LLC",United States,Geological Storage,dedicated,derived-destination-class,medium,2022,2024,0.173452,0.421249,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-042,Red Hills Gas Processing Plant,United States,Geological Storage,dedicated,derived-destination-class,medium,2021,2023,0.0,0.046135,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-043,Seminole East Field (SEF),United States,Geological Storage with Oil Recovery,eor,reported-class,high,2023,2023,0.0,0.032576,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-044,Seminole San Andres Unit,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2023,2023,0.0,3.932897,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-045,West Seminole San Andres Unit,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2021,2023,0.0,2.320591,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-046,Farnsworth Unit CO2 Flood,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2013,2023,0.0,0.754131,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
