source_project_id,project_name,country,mapping_status,canonical_project_id,candidate_project_ids,review_note
iea-2026-0056,Borregaard / SAE (Borg CO2) (2 facilities),Norway,unmatched-review,,,No exact curated identity match
iea-2026-0057,Boryeong Blue hydrogen,South Korea,unmatched-review,,,No exact curated identity match
iea-2026-0059,Boundary Dam CCS (SASK),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0060,Bridgeport Energy Moonie CCUS Project,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0062,Broadwing Clean Energy Complex (IL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0063,Bushmills Ethanol Atwater (MN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0064,CalCapture CCPP (Elk Hills) (CA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0065,Caledonia Clean Energy (previously Captain Clean Energy),United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0068,Carbon America Sterling ethanol (CO),United States,unmatched-review,,,No exact curated identity match
iea-2026-0069,Carbon America Yuma ethanol (CO),United States,unmatched-review,,,No exact curated identity match
iea-2026-0070,Carbon Capture at Ince Fertiliser Site,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0072,Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Austria,unmatched-review,,,No exact curated identity match
iea-2026-0073,CarbonCapture DACU Carbon Cure at Gary Works (IN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0077,CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,United States,unmatched-review,,,No exact curated identity match
iea-2026-0078,CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,United States,unmatched-review,,,No exact curated identity match
iea-2026-0079,Cementa Slite plant,Sweden,unmatched-review,,,No exact curated identity match
iea-2026-0080,Century plant (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0081,Cerilon gas-to-liquids complex (ND),United States,unmatched-review,,,No exact curated identity match
iea-2026-0082,Blue Point Number One Ammonia Complex (LA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0083,Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0085,China Energy Taizhou power (Jiangsu),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0086,China Energy Guohua Jinjie Power (Shaanxi),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0087,CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Sweden,unmatched-review,,,No exact curated identity match
iea-2026-0089,Amager Bakke/Amager Resource Centre (ARC),Denmark,unmatched-review,,,No exact curated identity match
iea-2026-0090,Climeworks DAC at Brawley Geothermal (CA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0091,Climeworks Norsk e fuel phase 1,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0092,Climeworks Norsk e fuel phase 2,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0093,Climeworks Norsk e fuel phase 3,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0094,Enhance Clive Sequestration Facility (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0095,Enping 15-1 offshore CCS (Hong Kong),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0096,Junggar Basin Hub - Northwest phase 1 (Xinjiang),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0097,Junggar Basin Hub - Northwest phase 2 (Xinjiang),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0099,Junggar Basin Hub - Refinery Hydrogen (Xinjiang),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0100,CO2 capture at Coal Creek (ND),United States,unmatched-review,,,No exact curated identity match
iea-2026-0101,CO2 TO METHANOL Finnfjord Ferrosilicon,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0102,Coda terminal Phase 1,Island,unmatched-review,,,No exact curated identity match
iea-2026-0103,Coda terminal Phase 2,Island,unmatched-review,,,No exact curated identity match
iea-2026-0104,Coda terminal phase 3,Island,unmatched-review,,,No exact curated identity match
iea-2026-0105,Coffeyville fertiliser Plant (KS),United States,unmatched-review,,,No exact curated identity match
iea-2026-0106,Core Energy CO2-EOR South Chester plant (MI),United States,unmatched-review,,,No exact curated identity match
iea-2026-0107,Corn LP Goldfield biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0110,CORY EfW plant Belvedere,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0111,Coyote Clean Power Project (CO),United States,unmatched-review,,,No exact curated identity match
iea-2026-0112,CRP Haifeng Project (Guangdong),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0114,CTSCo Project,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0117,Dakota Ethanol Wentworth biorefinery (SD),United States,unmatched-review,,,No exact curated identity match
iea-2026-0118,Dakota H2 Hub (ND),United States,unmatched-review,,,No exact curated identity match
iea-2026-0119,Dalmia Cement (Bharat) Tamil Nadu,India,unmatched-review,,,No exact curated identity match
iea-2026-0120,Dalstur Energy Coal India coal hydrogen,India,unmatched-review,,,No exact curated identity match
iea-2026-0121,D'Artagnan Dunkirk CO2 Hub Phase 1,France,unmatched-review,,,No exact curated identity match
iea-2026-0122,D'Artagnan Dunkirk CO2 Hub Phase 2,France,unmatched-review,,,No exact curated identity match
iea-2026-0123,D'Artagnan Dunkirk CO2 Hub Phase 3,France,unmatched-review,,,No exact curated identity match
iea-2026-0124,Illinois Basin Decatur Project (IL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0125,DelpHYnus hydrogen production Theddlethorpe,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0126,Delta Rhyne Corridor,Germany-Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0127,Denbury / Mitsubishi Gulf Coast ammonia project (TBD),United States,unmatched-review,,,No exact curated identity match
iea-2026-0129,Linde hydrogen to Dow Fort Saskatchewan Path2Zero (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0132,Dry Fork Integrated Commercial CCS/Wyoming CarbonSafe (WY),United States,unmatched-review,,,No exact curated identity match
iea-2026-0133,Eastern Wyoming Sequestration Hub (WY) (Juniper I-1),United States,unmatched-review,,,No exact curated identity match
iea-2026-0135,Edmonton Blue Hydrogen plant (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0136,Enbridge Ingleside Energy Center Low carbon ammonia (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0137,Offshore Western Kyushu CCS - J-Power power plant,Japan,unmatched-review,,,No exact curated identity match
iea-2026-0138,Energean hydrogen plant,Greece,unmatched-review,,,No exact curated identity match
iea-2026-0142,ENI Ravenna power plant,Italy,unmatched-review,,,No exact curated identity match
iea-2026-0143,ENI Venice bio-refinery Porto Marghera,Italy,unmatched-review,,,No exact curated identity match
iea-2026-0144,Enid fertiliser (OK),United States,unmatched-review,,,No exact curated identity match
iea-2026-0145,Ervia Cork CCS - Aghada CCGT,Ireland,unmatched-review,,,No exact curated identity match
iea-2026-0146,Ervia Cork CCS - Irving refinery,Ireland,unmatched-review,,,No exact curated identity match
iea-2026-0147,Ervia Cork CCS - Whitegate CCGT,Ireland,unmatched-review,,,No exact curated identity match
iea-2026-0148,ExxonMobil Baytown petrochemical site (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0149,Exxonmobil Antwerp Refinery CCS,Belgium,unmatched-review,,,No exact curated identity match
iea-2026-0150,Air Products for Exxonmobil Botlek Rotterdam refinery,Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0152,Fidelis Project Cyclus Baton Rouge (LA) AtmosClear BECCS,United States,unmatched-review,,,No exact curated identity match
iea-2026-0154,Freeport LNG CCS (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0155,Frevar KF / Kvitebjorn BIO-EL (Borg CO2) (2 facilities),Norway,unmatched-review,,,No exact curated identity match
iea-2026-0156,Frog Lake Power Plant (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0157,FS Lucas do Rio Verde ethanol biorefinery complex,Brazil,unmatched-review,,,No exact curated identity match
iea-2026-0158,Future Biogas plants phase 1,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0159,Future Biogas plants phase 2,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0160,G2 Net-Zero (LA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0161,Hail and Gasha CO2 Management,United Arab Emirates,unmatched-review,,,No exact curated identity match
iea-2026-0162,Genesee CCS (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0163,Gerald Gentleman Station Carbon Capture (NE),United States,unmatched-review,,,No exact curated identity match
iea-2026-0166,Glacial Lakes Energy Aberdeen biorefinery (SD),United States,unmatched-review,,,No exact curated identity match
iea-2026-0168,Glacial Lakes Energy Mina biorefinery (SD),United States,unmatched-review,,,No exact curated identity match
iea-2026-0169,Glacial Lakes Energy Watertown biorefinery (SD),United States,unmatched-review,,,No exact curated identity match
iea-2026-0171,Glacier CCS (ALB) phase 2,Canada,unmatched-review,,,No exact curated identity match
iea-2026-0172,Golden Grain Energy Mason City biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0175,Granite Falls biorefinery (MN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0176,Great Plains Synfuel Plant (ND) Weyburn-Midale (SK),United States-Canada,unmatched-review,,,No exact curated identity match
iea-2026-0177,Green Plains Atkinson biorefinery (NE),United States,unmatched-review,,,No exact curated identity match
iea-2026-0178,Green Plains Advantage Nebraska - Central City biorefinery (NE),United States,unmatched-review,,,No exact curated identity match
iea-2026-0179,Green Plains Fairmont biorefinery (MN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0180,Green Plains Otter Tail (Fergus Falls) biorefinery (MN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0181,Green Plains Shenandoah biorefinery (MN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0182,Green Plains Superior biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0183,Green Plains Advantage Nebraska - Wood River biorefinery (NE),United States,unmatched-review,,,No exact curated identity match
iea-2026-0184,Green Plains Advantage Nebraska - York biorefinery (NE),United States,unmatched-review,,,No exact curated identity match
iea-2026-0186,GreenGen Huaneng IGCC Project Phase III (Tianjin),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0187,Gundih CCUS EGR,Indonesia,unmatched-review,,,No exact curated identity match
iea-2026-0188,H21 Leeds City Gate - Teesside hydrogen,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0190,H2BE,Belgium,unmatched-review,,,No exact curated identity match
iea-2026-0193,H2NorthEast Phase 1,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0194,H2NorthEast Phase 2,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0195,H2Perth Woodside,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0196,BP H2Teesside Phase 1,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0197,BP H2Teesside Phase 2,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0198,Hackberry Carbon Sequestration (HCS) project at Cameron LNG (LA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0199,"Heartland Greenway (IA, IL, MN, NE, SD)",United States,unmatched-review,,,No exact curated identity match
iea-2026-0201,HeidelbergMaterials Brevik,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0202,Heidelberg Materials LEILAC 2,Germany,unmatched-review,,,No exact curated identity match
iea-2026-0203,Heron Lake biorefinery (MN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0205,HIF USA eFuels Matagorda County (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0206,Highwater Ethanol Lamberton biorefinery (MN),United States,unmatched-review,,,No exact curated identity match
iea-2026-0207,Carbon2Business Laegerdorf,Germany,unmatched-review,,,No exact curated identity match
iea-2026-0208,Homeland Energy Solutions Lawler biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0209,Horizon Oil Sands (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0210,FlagshipONE eMethanol (Hörneborgsverket CHP Örnsköldsvik),Sweden,unmatched-review,,,No exact curated identity match
iea-2026-0214,Husker Ag Plainview biorefinery (NE),United States,unmatched-review,,,No exact curated identity match
iea-2026-0215,H-vision plant 1,Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0216,H-vision plant 2,Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0217,Hydrogen 2 Magnum (H2M),Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0218,Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Australia,candidate-review,,au-carbonnet,Unique/candidate alias containment in the same country; review before accepting
iea-2026-0220,Hydrogen to Humber (H2H) Saltend phase 1,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0222,Illinois Clean Fuels Project (IL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0223,Illinois Industrial Carbon Capture and Storage (IL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0224,Indian Oil Corporation Koyali refinery,India,unmatched-review,,,No exact curated identity match
iea-2026-0225,Ineos Antwerp CCS,Belgium,unmatched-review,,,No exact curated identity match
iea-2026-0226,INEOS Grangemouth refinery and hydrogen production,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0227,Abadi LNG CCS/CCUS,Indonesia,unmatched-review,,,No exact curated identity match
iea-2026-0228,"Integrated Mid-Continent Stacked Carbon Storage Hub CarbonSAFE (NB, KS)",United States,unmatched-review,,,No exact curated identity match
iea-2026-0229,Itochu/Petronas ammonia project (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0230,Sukowati CO2-EOR (Jambaran Tiung Biru gas processing),Indonesia,unmatched-review,,,No exact curated identity match
iea-2026-0231,James M Barry Electric Generating Plant CCUS (AL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0232,Javelina Refinery CCS (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0233,Sailboat Green Methanol plant Shengong petrochemical (Jiangsu),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0236,K6 Program- Lumbres cement plant,France,unmatched-review,,,No exact curated identity match
iea-2026-0237,Kairos@C,Belgium,unmatched-review,,,No exact curated identity match
iea-2026-0238,Karamay Dunhua methanol plant (Xinjiang),People's Republic of China,unmatched-review,,,No exact curated identity match
iea-2026-0239,Keadby 3 Carbon Capture Power Station,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0241,Kemper county CCUS (MS),United States,unmatched-review,,,No exact curated identity match
iea-2026-0244,Kern River Eastridge cogeneration plant San Joaquin Valley (CA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0245,KeyState Natural Gas Synthesis (ARCH2) (PA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0246,Kollsnes DAC facility,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0247,Korea CCS 1 & 2,South Korea,unmatched-review,,,No exact curated identity match
iea-2026-0249,Porthos onshore transport,Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0250,Labarge Shute Creek Gas Processing Plant 1.2 Mtpa expansion (WY),United States,unmatched-review,,,No exact curated identity match
iea-2026-0251,Labarge Shute Creek Gas Processing Plant 2010 expansion (WY),United States,unmatched-review,,,No exact curated identity match
iea-2026-0252,Labarge Shute Creek Gas Processing Plant original (WY),United States,unmatched-review,,,No exact curated identity match
iea-2026-0253,LafargeHolcim Portland (CO),United States,unmatched-review,,,No exact curated identity match
iea-2026-0254,LafargeHolcim Ste Genevieve (MO),United States,unmatched-review,,,No exact curated identity match
iea-2026-0255,Lake Charles Methanol II (LA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0257,Project Blue - El Dorado (AR),United States,unmatched-review,,,No exact curated identity match
iea-2026-0258,HeidelbergMaterials Edmonton Cement (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0259,CalCC Lhoist Air Liquide Lime plant Réty,France,unmatched-review,,,No exact curated identity match
iea-2026-0260,Lincolnway Energy Nevada biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0261,Svante capture Linde SMR plant (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0262,Lone Star Storage Hub Project (Jasper) (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0263,LIPOR Maia Energy Recovery Plant PtL facility,Portugal,unmatched-review,,,No exact curated identity match
iea-2026-0264,Little Sioux Corn Processors Marcus biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0265,Liverpool Bay CCS project phase 1,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0266,Liverpool Bay CCS expansion project (phase 2),United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0267,Lost Cabin Gas Plant (WY),United States,unmatched-review,,,No exact curated identity match
iea-2026-0268,Louis Dreyfus Grand Junction biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0269,Louis Dreyfus Norfolk biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0271,Lyse Forus Energigjenvinning Stavanger,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0273,Meadowbrook Carbon Storage Hub (MCSH) (ALB) initial start-up,Canada,unmatched-review,,,No exact curated identity match
iea-2026-0274,Mendota BECCS power project (Clean Energy Systems Carbon Negative Energy Plant - Central Valley) (CA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0275,MEPAU Mid West CCUS hub,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0276,Mid West Clean Energy Project,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0277,Midwest AgEnergy Blue Flint ethanol (ND),United States,unmatched-review,,,No exact curated identity match
iea-2026-0278,"Midwest Carbon Express (NE, SD, ND, MI, IA)",United States,unmatched-review,,,No exact curated identity match
iea-2026-0279,Mikawa Power Plant BECCS Fukuoka Prefecture,Japan,unmatched-review,,,No exact curated identity match
iea-2026-0280,Mote biomass-to-hydrogen plant Kern County (CA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0282,Angel CCS,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0283,Mustang Station Carbon Capture (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0284,Nauticol and Enhance Energy blue methanol project (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0285,L10 CCS,Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0286,L10 CCS phase 2,Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0287,Net Zero Teesside Power,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0288,NextDecade Rio Grande LNG (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0289,East Niigata area CCS (capture sources under evaluation),Japan,unmatched-review,,,No exact curated identity match
iea-2026-0290,Norske Skog Saugbrugs (Borg CO2),Norway,unmatched-review,,,No exact curated identity match
iea-2026-0293,NWR Sturgeon Refinery (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0295,Northern Lights Phase 1,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0296,Northern Lights Phase 2,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0297,Northern Plains Nitrogen Blue ammonia (ND),United States,unmatched-review,,,No exact curated identity match
iea-2026-0299,One Earth Energy ethanol CCS (IL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0300,Open Access Wabamun Carbon Hub (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0301,Origins project (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0302,Hafslund Oslo Celsio,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0304,PCS Nitrogen Geismar Ammonia plant (LA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0305,PCS Nitrogen-Geismar plant (LA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0307,Peterhead Carbon Capture Power Station,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0308,Peterhead Power Station CCS (2011 version),United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0309,Petra Nova Carbon Capture (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0310,Petrobras Santos Basin pre-salt oilfield CCS (ES),Brazil,unmatched-review,,,No exact curated identity match
iea-2026-0312,Phillips 66 Humber refinery,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0313,Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0314,Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0315,Pine Lake Corn Processors Steamboat Rock biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0316,Plant Daniel Carbon Capture (MS),United States,unmatched-review,,,No exact curated identity match
iea-2026-0317,Plymouth Energy Merrill biorefinery (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0318,"POET 17 bioprocessing plants (IA, NE, SD)",United States,unmatched-review,,,No exact curated identity match
iea-2026-0319,ECO2CEE (Poland EU CCS Interconnector) phase 1,"Poland, Latvia, Lithuania",unmatched-review,,,No exact curated identity match
iea-2026-0320,ECO2CEE (previously Poland EU CCS Interconnector) phase 2,"Poland, Latvia, Lithuania",unmatched-review,,,No exact curated identity match
iea-2026-0321,Polaris CCS capture (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0322,Polaris offshore storage facility,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0323,Valero Port Arthur Refinery (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0325,Porthos offshore transport and storage,Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0327,Prairie State Generating Station Carbon Capture (IL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0328,Prax Lindsey Oil Refinery Phase 1,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0329,Prax Lindsey Oil Refinery Phase 2,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0330,Preem CCS at Lysekil refinery,Sweden,unmatched-review,,,No exact curated identity match
iea-2026-0331,Project Bifrost Phase 1,Denmark,unmatched-review,,,No exact curated identity match
iea-2026-0332,Project Cavendish Phase 1,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0333,Project Cavendish Phase 2,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0334,ECO2S: Early CO2 Storage Complex in Kemper County (MS),United States,unmatched-review,,,No exact curated identity match
iea-2026-0335,Greensand Future phase 1,Denmark,unmatched-review,,,No exact curated identity match
iea-2026-0336,Project Greensand phase 2,Denmark,unmatched-review,,,No exact curated identity match
iea-2026-0337,Hereford Ethanol Plant - Carbon Storage Texas I (TX) (Project Interseqt),United States,unmatched-review,,,No exact curated identity match
iea-2026-0338,Project Interseqt - Plainview Ethanol Plant (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0339,Project Phoenix ammonia (WY),United States,unmatched-review,,,No exact curated identity match
iea-2026-0340,Project Pouakai Hydrogen Production with CCS,New Zealand,unmatched-review,,,No exact curated identity match
iea-2026-0341,Project Tundra at Milton R Young Station (ND),United States,unmatched-review,,,No exact curated identity match
